input_length,output_length,latency,timestamp,architecture,scale
2056,145,0.0021,567016003.0,Dense,30-100B
2669,704,0.0014,567017648.0,Dense,30-100B
629,177,0.0008,568081658.0,Dense,30-100B
4386,169,0.0013,570058595.0,Dense,30-100B
928,17,0.0012,572035170.0,Dense,30-100B
132,559,0.0009,572994542.0,Dense,30-100B
224,3,0.0006,573038871.0,Dense,30-100B
3558,745,0.0008,575093961.0,Dense,30-100B
369,24,0.0016,575104726.0,Dense,30-100B
125,87,0.0013,575108076.0,Dense,30-100B
309,35,0.0022,576094842.0,Dense,30-100B
349,151,0.001,577024660.0,Dense,30-100B
345,2272,0.0008,579008496.0,Dense,30-100B
425,10,0.0008,579024017.0,Dense,30-100B
1184,505,0.0022,579100070.0,Dense,30-100B
236,484,0.0013,580089749.0,Dense,30-100B
795,530,0.0021,581132999.0,Dense,30-100B
607,7,0.0009,586073695.0,Dense,30-100B
4553,730,0.0007,587021489.0,Dense,30-100B
4030,767,0.0021,587075107.0,Dense,30-100B
1819,80,0.0021,589152203.0,Dense,30-100B
225,5,0.0021,590017875.0,Dense,30-100B
4046,116,0.0015,591027414.0,Dense,30-100B
433,37,0.0013,591051791.0,Dense,30-100B
665,2,0.0009,592027984.0,Dense,30-100B
1419,213,0.0014,594024919.0,Dense,30-100B
1281,201,0.0017,594052607.0,Dense,30-100B
3224,172,0.0022,595031997.0,Dense,30-100B
1879,148,0.0014,596005227.0,Dense,30-100B
4124,209,0.0022,596085431.0,Dense,30-100B
230,6,0.0012,597065215.0,Dense,30-100B
8283,889,0.0013,600188739.0,Dense,30-100B
234,11,0.0012,604179121.0,Dense,30-100B
399,641,0.0012,605090200.0,Dense,30-100B
3630,126,0.002,606054265.0,Dense,30-100B
3344,165,0.0024,606152092.0,Dense,30-100B
1054,1368,0.0012,607055635.0,Dense,30-100B
5234,707,0.0012,607111646.0,Dense,30-100B
2111,350,0.0017,607124854.0,Dense,30-100B
1585,209,0.0016,608046934.0,Dense,30-100B
47,472,0.0013,609056138.0,Dense,30-100B
232,6,0.0012,610135049.0,Dense,30-100B
72,1363,0.0007,611088820.0,Dense,30-100B
240,8,0.0021,612082927.0,Dense,30-100B
