input_length,output_length,latency,timestamp,architecture,scale
1276,120,0.001669921,683852124,Dense,30-100B
5383,173,0.001289093,683990722,Dense,30-100B
3596,0,0.000774555,684786066,Dense,30-100B
1350,702,0.000800445,684920902,Dense,30-100B
11271,199,0.002889676,685892589,Dense,30-100B
225,5,0.000797155,685899406,Dense,30-100B
728,12,0.000724214,688900080,Dense,30-100B
2717,102,0.001266653,691847528,Dense,30-100B
224,3,0.001361533,694961767,Dense,30-100B
2023,98,0.001377723,694976154,Dense,30-100B
12060,153,0.002177605,697000936,Dense,30-100B
4986,679,0.002195553,697843339,Dense,30-100B
3588,727,0.001210742,700808584,Dense,30-100B
1566,683,0.000699024,701875235,Dense,30-100B
772,25,0.000788775,703939575,Dense,30-100B
3260,613,0.001291383,705802877,Dense,30-100B
1302,49,0.002165193,705980551,Dense,30-100B
2430,411,0.000824792,707953409,Dense,30-100B
808,2568,0.002662116,711958766,Dense,30-100B
18,715,0.00163749,713021293,Dense,30-100B
2347,323,0.00155281,714924857,Dense,30-100B
1993,84,0.001556089,716983218,Dense,30-100B
81,702,0.001309153,718840058,Dense,30-100B
985,0,0.000752104,719892188,Dense,30-100B
462,4,0.001321833,721957025,Dense,30-100B
1003,14,0.001227822,723817048,Dense,30-100B
613,55,0.002217774,724848002,Dense,30-100B
1280,56,0.001343012,724983153,Dense,30-100B
3849,105,0.003395572,725927620,Dense,30-100B
1714,1357,0.000758204,726786462,Dense,30-100B
39250,44,0.001604061,728940929,Dense,30-100B
4650,103,0.000723545,728956973,Dense,30-100B
3373,803,0.001688774,731971585,Dense,30-100B
11094,164,0.001726721,733912263,Dense,30-100B
3251,688,0.001270693,739981594,Dense,30-100B
676,566,0.001280773,740845384,Dense,30-100B
1188,4385,0.002164034,740928808,Dense,30-100B
720,42,0.000749165,751809521,Dense,30-100B
168,1016,0.00164675,753959130,Dense,30-100B
168,32,0.001461583,753965748,Dense,30-100B
1295,45,0.000731964,753977333,Dense,30-100B
783,1699,0.000627951,756849029,Dense,30-100B
1180,150,0.002466185,758959523,Dense,30-100B
904,147,0.002191954,760899337,Dense,30-100B
623,40,0.000789514,763932176,Dense,30-100B
5561,77,0.000626535,768809524,Dense,30-100B
1908,15,0.002237664,768857877,Dense,30-100B
225,3,0.001222532,768889118,Dense,30-100B
5760,720,0.001260692,771056311,Dense,30-100B
359,21,0.00173709,773925633,Dense,30-100B
3007,0,6.7964501859999995,776047968,Dense,30-100B
1948,263,0.000788322,778081757,Dense,30-100B
73,1,0.001286502,780834234,Dense,30-100B
658,16,0.001433953,782037197,Dense,30-100B
3625,197,0.001343543,785135445,Dense,30-100B
5177,733,0.002159353,788861451,Dense,30-100B
267,920,0.002028775,793914704,Dense,30-100B
1247,163,0.00171043,795066607,Dense,30-100B
12060,299,0.002286945,795799983,Dense,30-100B
367,8401,0.001486223,795937582,Dense,30-100B
249,461,0.002301175,803815305,Dense,30-100B
1033,208,0.002933436,803876048,Dense,30-100B
11094,163,0.000819832,805040740,Dense,30-100B
113,611,0.001215893,806968283,Dense,30-100B
1287,308,0.001953032,811944958,Dense,30-100B
2416,11,0.001224772,812840037,Dense,30-100B
381,5,0.002058553,814875352,Dense,30-100B
6277,771,0.001363583,817964183,Dense,30-100B
2745,0,6.52129104,819836680,Dense,30-100B
2442,379,0.002123364,825835994,Dense,30-100B
1086,158,0.002082484,825937764,Dense,30-100B
1594,152,0.005529692,826842723,Dense,30-100B
6334,60,0.000750705,826872877,Dense,30-100B
1028,821,0.000888931,827854335,Dense,30-100B
2910,10,0.001255282,828804603,Dense,30-100B
3101,142,0.002209705,829839054,Dense,30-100B
1697,187,0.002103224,829972741,Dense,30-100B
301,1634,0.002182493,831899757,Dense,30-100B
140,1442,0.001594161,833802116,Dense,30-100B
2724,23,0.021884996,835968735,Dense,30-100B
1868,254,0.001557621,838796510,Dense,30-100B
3075,364,0.002090694,838850891,Dense,30-100B
2264,170,0.002240535,839908655,Dense,30-100B
12060,123,0.00171342,840933401,Dense,30-100B
3479,714,0.001310782,842896956,Dense,30-100B
1318,120,0.000889282,844808570,Dense,30-100B
769,6,0.001326373,848949793,Dense,30-100B
620,78,0.001463593,852003339,Dense,30-100B
5944,740,0.001324183,853865306,Dense,30-100B
1610,110,0.000764592,853975661,Dense,30-100B
1391,272,0.002217145,855839478,Dense,30-100B
1802,143,0.001607,856788162,Dense,30-100B
1576,120,0.001029775,859897182,Dense,30-100B
1941,132,0.004168626,859988617,Dense,30-100B
4424,220,0.002464245,860045076,Dense,30-100B
141,1,0.000730115,860809201,Dense,30-100B
248,623,0.000777135,860918343,Dense,30-100B
1307,222,0.002070515,860943550,Dense,30-100B
936,17,0.001381153,861872777,Dense,30-100B
10754,475,0.000753822,862842906,Dense,30-100B
694,57,0.001216422,862903082,Dense,30-100B
201923,0,2.855020744,867810288,Dense,30-100B
697,44,0.002262003,868927752,Dense,30-100B
17,964,0.002075494,869978597,Dense,30-100B
3851,160,0.001263433,870850443,Dense,30-100B
231,6,0.000795824,871905682,Dense,30-100B
3449,86,0.001046716,871949048,Dense,30-100B
4225,764,0.001737644,874999731,Dense,30-100B
277,1649,0.001743001,879006077,Dense,30-100B
295,1,0.002254764,879920440,Dense,30-100B
3542,70,0.000765215,881962066,Dense,30-100B
1459,166,0.002802646,884841383,Dense,30-100B
220,48,0.001273542,888921194,Dense,30-100B
2344,305,0.002217125,888923445,Dense,30-100B
1997,415,0.006840515,889908360,Dense,30-100B
514,811,0.000712385,893898386,Dense,30-100B
2794,49,0.001270052,899940304,Dense,30-100B
12051,120,0.002189354,900008127,Dense,30-100B
5952,603,0.002835817,902015089,Dense,30-100B
248,620,0.000706305,905899192,Dense,30-100B
11094,117,0.002162314,913841296,Dense,30-100B
122,1,0.002234064,914941436,Dense,30-100B
4454,703,0.000678924,915962136,Dense,30-100B
229,5,0.000727615,916816486,Dense,30-100B
456,7,0.000734364,917782608,Dense,30-100B
4300,710,0.001217163,919896682,Dense,30-100B
2482,486,0.000792551,922892884,Dense,30-100B
206,29,0.009753859,925862652,Dense,30-100B
319,186,0.010523587,926870364,Dense,30-100B
12060,204,0.00162901,926883934,Dense,30-100B
4563,613,0.001285192,929827545,Dense,30-100B
1660,248,0.000856365,932941893,Dense,30-100B
2207,819,0.001702981,935920332,Dense,30-100B
12060,132,0.002134724,935932071,Dense,30-100B
1759,89,0.000847095,936916935,Dense,30-100B
2228,407,0.001933552,938002894,Dense,30-100B
1880,263,0.001675132,944882822,Dense,30-100B
1836,22,0.002137395,952966091,Dense,30-100B
1308,129,0.000668225,953035723,Dense,30-100B
224,3,0.001239362,957978195,Dense,30-100B
2472,421,0.001525289,958873486,Dense,30-100B
278,66,0.001185032,959100064,Dense,30-100B
661,26,0.001225512,959939295,Dense,30-100B
252,558,0.002175482,960847027,Dense,30-100B
842,558,0.000973115,963885536,Dense,30-100B
1380,14,0.002095033,970004807,Dense,30-100B
2355,32,0.001390663,971988737,Dense,30-100B
1531,180,0.001813681,973004967,Dense,30-100B
6094,0,0.002077523,973984751,Dense,30-100B
